Column1;Document Title;Authors;Publication Title;Publication Year;DOI;PDF Link
168;OFM: An Online Fisher Market for Cloud Computing;"A. S. Prasad; M. Arumaithurai; D. Koll; Y. Jiang; X. Fu";IEEE INFOCOM 2019 - IEEE Conference on Computer Communications;20190;10.1109/INFOCOM.2019.8737641;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8737641
169;Fine-Grained, Adaptive Resource Sharing for Real Pay-Per-Use Pricing in Clouds;"Y. C. Lee; Y. Kim; H. Han; S. Kang";2015 International Conference on Cloud and Autonomic Computing;20150;10.1109/ICCAC.2015.36;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7312164
170;Stackelberg Game for Resource Sharing in Mobile Cloud Workflow Management Via a Direct Approach;"Y. Chen; Y. Xia; H. Yuan; Y. Zhan";2018 Chinese Automation Congress (CAC);20180;10.1109/CAC.2018.8623730;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8623730
173;QoS-aware elastic cloud brokering for IMS infrastructures;"P. Bellavista; G. Carella; L. Foschini; T. Magedanz; F. Schreiner; K. Campowsky";2012 IEEE Symposium on Computers and Communications (ISCC);20120;10.1109/ISCC.2012.6249285;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6249285
176;LSSO: Long Short-term Scaling Optimizer;"B. Fodor; L. Toka; B. Sonkoly";2022 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN);20220;10.1109/NFV-SDN56302.2022.9974612;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974612
178;Optimizing IaaS Reserved Contract Procurement Using Load Prediction;"R. Van Den Bossche; K. Vanmechelen; J. Broeckhove";2014 IEEE 7th International Conference on Cloud Computing;20140;10.1109/CLOUD.2014.22;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6973728
180;A Modeling Approach for Cloud Infrastructure Planning Considering Dependability and Cost Requirements;"E. Sousa; F. Lins; E. Tavares; P. Cunha; P. Maciel";IEEE Transactions on Systems, Man, and Cybernetics: Systems;20150;10.1109/TSMC.2014.2358642;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6913553
182;Estimating sustainability impact, total cost of ownership and dependability metrics on data center infrastructures;"G. Callou; P. Maciel; F. Magnani; J. Figueiredo; E. Sousa; E. Tavares; B. Silva; F. Neves; C. Araujo";Proceedings of the 2011 IEEE International Symposium on Sustainable Systems and Technology;20110;10.1109/ISSST.2011.5936859;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5936859
184;Exploiting cloud computing — A proposed methodology for generating new business;"P. J. Nesse; A. Undheim; F. H. Solsvik; E. Salant; M. Dao; J. M. Lopez; J. Martinez Elicegui";2011 15th International Conference on Intelligence in Next Generation Networks;20110;10.1109/ICIN.2011.6081083;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6081083
186;VM Provisioning Method to Improve the Profit and SLA Violation of Cloud Service Providers;"K. S. Patel; A. K. Sarje";2012 IEEE International Conference on Cloud Computing in Emerging Markets (CCEM);20120;10.1109/CCEM.2012.6354623;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6354623
187;System Architecture Directions for Tangible Cloud Computing;"K. Lee; D. Hughes";2010 First ACIS International Symposium on Cryptography, and Network Security, Data Mining and Knowledge Discovery, E-Commerce and Its Applications, and Embedded Systems;20100;10.1109/CDEE.2010.57;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5759334
188;On the Management of Cloud Non-Functional Properties: The Cloud Transparency Toolkit;"C. A. Ardagna; R. Asal; E. Damiani; Q. H. Vu";2014 6th International Conference on New Technologies, Mobility and Security (NTMS);20140;10.1109/NTMS.2014.6814039;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6814039
189;Cost Optimization for Scientific Workflow Execution on Cloud Computing;"T. Tirapat; O. Udomkasemsub; X. Li; T. Achalakul";2013 International Conference on Parallel and Distributed Systems;20130;10.1109/ICPADS.2013.118;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6808255
190;Video surveillance as a service cost estimation and pricing model;"T. Limna; P. Tandayya";2015 12th International Joint Conference on Computer Science and Software Engineering (JCSSE);20150;10.1109/JCSSE.2015.7219791;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7219791
191;A graph-based approach for composite infrastructure service deployment in multi-cloud environment;"D. Riane; A. Ettalbi";2018 International Conference on Advanced Communication Technologies and Networking (CommNet);20180;10.1109/COMMNET.2018.8360254;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360254
192;Efficient Task Allocation for Cloud Using Bat Algorithm;A. K. Jayswal;2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC);20200;10.1109/PDGC50313.2020.9315845;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315845
193;A Comparative Approach to Mitigate Economic Denial of Sustainability (EDoS) in a Cloud Environment;"S. Nautiyal; S. Wadhwa";2019 4th International Conference on Information Systems and Computer Networks (ISCON);20190;10.1109/ISCON47742.2019.9036257;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036257
194;A Review on Access Management Web Application on Cloud;"Geetanjali; S. J. Quraishi";2022 Third International Conference on Intelligent Computing Instrumentation and Control Technologies (ICICICT);20220;10.1109/ICICICT54557.2022.9917637;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917637
195;TCA: A Multi Constraint Real-Time Task Scheduling Algorithm for Heterogeneous Cloud Environment;"S. Sahoo; S. K. Sahu; T. K. Rath; B. Sahoo; A. K. Turuk";2018 International Conference on Information Technology (ICIT);20180;10.1109/ICIT.2018.00036;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8724307
196;Data Intensive Query Processing for Large RDF Graphs Using Cloud Computing Tools;"M. F. Husain; L. Khan; M. Kantarcioglu; B. Thuraisingham";2010 IEEE 3rd International Conference on Cloud Computing;20100;10.1109/CLOUD.2010.36;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558142
197;Concurrent placement, capacity provisioning, and request flow control for a distributed cloud infrastructure;"S. Chen; Y. Wang; M. Pedram";2014 Design, Automation & Test in Europe Conference & Exhibition (DATE);20140;10.7873/DATE.2014.292;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6800493
198;Towards a Cost Model for Scheduling Scientific Workflows Activities in Cloud Environments;"V. Viana; D. de Oliveira; M. Mattoso";2011 IEEE World Congress on Services;20110;10.1109/SERVICES.2011.52;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6012716
199;Evaluating performance of cloud computing environments;"A. Nagy; B. Kovari";2013 IEEE 14th International Symposium on Computational Intelligence and Informatics (CINTI);20130;10.1109/CINTI.2013.6705204;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6705204
200;On Understanding Time, Energy and Cost Performance of Wimpy Heterogeneous Systems for Edge Computing;"D. Loghin; L. Ramapantulu; Y. M. Teo";2017 IEEE International Conference on Edge Computing (EDGE);20170;10.1109/IEEE.EDGE.2017.10;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029250
201;Evaluating and Improving the Performance and Scheduling of HPC Applications in Cloud;"A. Gupta; P. Faraboschi; F. Gioachin; L. V. Kale; R. Kaufmann; B. -S. Lee; V. March; D. Milojicic; C. H. Suen";IEEE Transactions on Cloud Computing;20160;10.1109/TCC.2014.2339858;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6858018
202;Online Resource Scheduling Under Concave Pricing for Cloud Computing;"R. Zhang; K. Wu; M. Li; J. Wang";IEEE Transactions on Parallel and Distributed Systems;20160;10.1109/TPDS.2015.2432799;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7106504
203;Business-driven capacity planning of a cloud-based it infrastructure for the execution of Web applications;"R. Lopes; F. Brasileiro; P. D. Maciel";2010 IEEE International Symposium on Parallel & Distributed Processing, Workshops and Phd Forum (IPDPSW);20100;10.1109/IPDPSW.2010.5470726;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5470726
204;Towards value-based resource provisioning in the cloud;"S. Rizou; A. Polyviou";4th IEEE International Conference on Cloud Computing Technology and Science Proceedings;20120;10.1109/CloudCom.2012.6427598;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427598
205;Assessing cloud computing SaaS adoption for enterprise applications using a Petri net MCDM framework;"M. Ribas; A. S. Lima; N. Souza; A. Moura; F. R. C. Sousa; G. Fenner";2014 IEEE Network Operations and Management Symposium (NOMS);20140;10.1109/NOMS.2014.6838372;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6838372
207;A Local-Optimisation Based Strategy for Cost-Effective Datasets Storage of Scientific Applications in the Cloud;"D. Yuan; Y. Yang; X. Liu; J. Chen";2011 IEEE 4th International Conference on Cloud Computing;20110;10.1109/CLOUD.2011.13;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6008708
208;Optimized Dynamic Cache Instantiation and Accurate LRU Approximations Under Time-Varying Request Volume;"N. Carlsson; D. Eager";IEEE Transactions on Cloud Computing;20230;10.1109/TCC.2021.3115959;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551722
209;Cloud Computing: A Business and Economical Perspective;"G. Motta; N. Sfondrini; D. Sacco";2012 International Joint Conference on Service Sciences;20120;10.1109/IJCSS.2012.36;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6227788
210;A Review: Data Security in Cloud Computing Using Machine Learning;"P. Kandi; S. R. Tarapatla; S. Kumar; H. Kadiyam; D. Chowdary; N. R. Moparthi";2022 5th International Conference on Contemporary Computing and Informatics (IC3I);20220;10.1109/IC3I56241.2022.10072968;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10072968
212;Survey on Centric Data Protection Method for Cloud Storage Application;"N. M. Sultana; K. Srinivas";2021 International Conference on Computational Intelligence and Computing Applications (ICCICA);20210;10.1109/ICCICA52458.2021.9697235;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9697235
213;Cloud computing infrastructure robustness: A game theory approach;"N. S. V. Rao; S. W. Poole; F. He; J. Zhuang; C. Y. T. Ma; D. K. Y. Yau";2012 International Conference on Computing, Networking and Communications (ICNC);20120;10.1109/ICCNC.2012.6167441;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6167441
214;Reinforcement learning based autonomic virtual machine management in clouds;"A. Habib; M. I. Khan";2016 5th International Conference on Informatics, Electronics and Vision (ICIEV);20160;10.1109/ICIEV.2016.7760166;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760166
216;Markov Based Computational Tasks Offloading Decision for Face Detection;"M. S. Z. Thu; E. C. Htoon";2019 IEEE 14th International Conference on Intelligent Systems and Knowledge Engineering (ISKE);20190;10.1109/ISKE47853.2019.9170281;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170281
217;Optimal Secure Placement of IoT Applications for Smart Farming;J. Sahoo;2021 8th International Conference on Internet of Things: Systems, Management and Security (IOTSMS);20210;10.1109/IOTSMS53705.2021.9704936;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9704936
218;iCATS: Scheduling Big Data Workflows in the Cloud Using Cultural Algorithms;"S. Z. Mousavi Mojab; M. Ebrahimi; R. Reynolds; S. Lu";2019 IEEE Fifth International Conference on Big Data Computing Service and Applications (BigDataService);20190;10.1109/BigDataService.2019.00020;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848226
220;Complex Queries Optimization and Evaluation over Relational and NoSQL Data Stores in Cloud Environments;"R. Sellami; B. Defude";IEEE Transactions on Big Data;20180;10.1109/TBDATA.2017.2719054;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7956218
221;Performance Analysis of Cloud Computing Services for Many-Tasks Scientific Computing;"A. Iosup; S. Ostermann; M. N. Yigitbasi; R. Prodan; T. Fahringer; D. Epema";IEEE Transactions on Parallel and Distributed Systems;20110;10.1109/TPDS.2011.66;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5719609
222;Cloud computing simulators: A detailed survey and future direction;"A. Ahmed; A. S. Sabyasachi";2014 IEEE International Advance Computing Conference (IACC);20140;10.1109/IAdCC.2014.6779436;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779436
223;Enhanced Ant Colony Algorithm for Cost-Aware Data-Intensive Service Provision;"L. Wang; J. Shen; G. Beydoun";2013 IEEE Ninth World Congress on Services;20130;10.1109/SERVICES.2013.48;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6655702
224;Workload and Resource Aware Proactive Auto-scaler for PaaS Cloud;"R. S. Shariffdeen; D. T. S. P. Munasinghe; H. S. Bhathiya; U. K. J. U. Bandara; H. M. N. D. Bandara";2016 IEEE 9th International Conference on Cloud Computing (CLOUD);20160;10.1109/CLOUD.2016.0012;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7820029
225;Enabling Cloud Service Reservation with Derivatives and Yield Management;"T. Meinl; A. Anandasivam; M. Tatsubori";2010 IEEE 12th Conference on Commerce and Enterprise Computing;20100;10.1109/CEC.2010.10;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708405
226;A Cloud-Oriented Content Delivery Network Paradigm: Modeling and Assessment;"C. Papagianni; A. Leivadeas; S. Papavassiliou";IEEE Transactions on Dependable and Secure Computing;20130;10.1109/TDSC.2013.12;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6461891
228;A Game-Theoretic Analysis of Complementarity, Substitutability and Externalities in Cloud Services;"Y. Zhang; Z. Xiong; D. Niyato; P. Wang; J. Jin";GLOBECOM 2017 - 2017 IEEE Global Communications Conference;20170;10.1109/GLOCOM.2017.8254116;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8254116
229;Lambda architecture for cost-effective batch and speed big data processing;"M. Kiran; P. Murphy; I. Monga; J. Dugan; S. S. Baveja";2015 IEEE International Conference on Big Data (Big Data);20150;10.1109/BigData.2015.7364082;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7364082
231;Optimizing Latency Sensitive Applications for Amazon's Public Cloud Platform;"J. Czentye; I. Pelle; A. Kern; B. P. Gero; L. Toka; B. Sonkoly";2019 IEEE Global Communications Conference (GLOBECOM);20190;10.1109/GLOBECOM38437.2019.9013988;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9013988
232;A survey on scheduling and load balancing techniques in cloud computing environment;"S. B. Shaw; A. K. Singh";2014 International Conference on Computer and Communication Technology (ICCCT);20140;10.1109/ICCCT.2014.7001474;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7001474
233;Cost-Driven Scheduling for Deadline-Constrained Workflow on Multi-clouds;"B. Lin; W. Guo; G. Chen; N. Xiong; R. Li";2015 IEEE International Parallel and Distributed Processing Symposium Workshop;20150;10.1109/IPDPSW.2015.56;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7284446
234;On demand elastic capacity planning for service auto-scaling;"P. Chuprikov; S. Nikolenko; K. Kogan";IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications;20160;10.1109/INFOCOM.2016.7524616;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7524616
235;An extreme automation framework for scaling cloud applications;"J. Yang; T. Yu; L. R. Jian; J. Qiu; Y. Li";IBM Journal of Research and Development;20110;10.1147/JRD.2011.2170929;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6097170
236;Comparative Study of Various Cloud Service Providers: A Review;"A. Choudhary; P. K. Verma; P. Rai";2022 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS);20220;10.1109/ICPECTS56089.2022.10047594;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10047594
237;SmartCMP: A Cloud Cost Optimization Governance Practice of Smart Cloud Management Platform;"F. Li; G. Wu; J. Lu; M. Jin; H. An; J. Lin";2022 IEEE 7th International Conference on Smart Cloud (SmartCloud);20220;10.1109/SmartCloud55982.2022.00034;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9944800
238;Multitier Fog Computing With Large-Scale IoT Data Analytics for Smart Cities;"J. He; J. Wei; K. Chen; Z. Tang; Y. Zhou; Y. Zhang";IEEE Internet of Things Journal;20180;10.1109/JIOT.2017.2724845;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7972945
241;Dynamic Resource Provisioning for Data Streaming Applications in a Cloud Environment;"S. Vijayakumar; Q. Zhu; G. Agrawal";2010 IEEE Second International Conference on Cloud Computing Technology and Science;20100;10.1109/CloudCom.2010.95;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708483
242;Deadline-Sensitive Workflow Scheduling With On-Demand and Spot Instances in the Cloud;"A. Tarafdar; R. K. Das; S. Khatua";2022 OITS International Conference on Information Technology (OCIT);20220;10.1109/OCIT56763.2022.00094;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053803
243;The Method and Tool of Cost Analysis for Cloud Computing;"X. Li; Y. Li; T. Liu; J. Qiu; F. Wang";2009 IEEE International Conference on Cloud Computing;20090;10.1109/CLOUD.2009.84;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5284157
244;Next Generation Cloud Computing Architecture: Enabling Real-Time Dynamism for Shared Distributed Physical Infrastructure;"V. Sarathy; P. Narayan; R. Mikkilineni";2010 19th IEEE International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises;20100;10.1109/WETICE.2010.14;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5541982
247;DEEP-Mon: Dynamic and Energy Efficient Power Monitoring for Container-Based Infrastructures;"R. Brondolin; T. Sardelli; M. D. Santambrogio";2018 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW);20180;10.1109/IPDPSW.2018.00110;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8425477
248;E-Clouds: A SaaS Marketplace for Scientific Computing;"M. Villamizar; H. Castro; D. Mendez";2012 IEEE Fifth International Conference on Utility and Cloud Computing;20120;10.1109/UCC.2012.56;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6424924
249;Dynamic cloud service topology adaption for minimizing resources while meeting performance goals;"C. Mega; T. Waizenegger; D. Lebutsch; S. Schleipen; J. M. Barney";IBM Journal of Research and Development;20140;10.1147/JRD.2014.2304771;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6798745
250;Can IoT escape Cloud QoS and Cost Pitfalls;"L. L. Dhirani; T. Newe; S. Nizamani";2018 12th International Conference on Sensing Technology (ICST);20180;10.1109/ICSensT.2018.8603570;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8603570
251;Cloud resiliency and security via diversified replica execution and monitoring;"A. Benameur; N. S. Evans; M. C. Elder";2013 6th International Symposium on Resilient Control Systems (ISRCS);20130;10.1109/ISRCS.2013.6623768;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6623768
252;A Minimum-Cost Flow Model for Workload Optimization on Cloud Infrastructure;"F. Nwanganga; M. Saebi; G. Madey; N. Chawla";2017 IEEE 10th International Conference on Cloud Computing (CLOUD);20170;10.1109/CLOUD.2017.68;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030624
253;Understanding the Deployment Cost of Cloud Computing Services for the Higher Education Institutions;"C. -H. Choi; C. Lee; J. J. Lee; K. Lee";2019 International Conference on Information and Communication Technology Convergence (ICTC);20190;10.1109/ICTC46691.2019.8939863;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8939863
254;e-Clouds: A SaaS marketplace for scientific computing;"M. Villamizar; H. Castro; D. Mendez";2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI);20120;10.1109/CLEI.2012.6427247;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427247
255;Data center resource management with temporal dynamic workload;"H. Qian; D. Medhi";2013 IFIP/IEEE International Symposium on Integrated Network Management (IM 2013);20130;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573116
256;Improving energy efficiency using request tracing as a tool in a multi-tier virtualized environment;"V. K. M. Raj; R. Shriram";2011 Third International Conference on Advanced Computing;20110;10.1109/ICoAC.2011.6165179;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6165179
258;Cloud Computing for the Media Facility: Concepts and Applications;A. Kovalick;SMPTE Motion Imaging Journal;20110;10.5594/j18016XY;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7270129
260;Cost and Time Aware Ant Colony Algorithm for Data Replica in Alpha Magnetic Spectrometer Experiment;"L. Wang; J. Luo; J. Shen; F. Dong";2013 IEEE International Congress on Big Data;20130;10.1109/BigData.Congress.2013.41;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6597144
261;Cost-Efficient Utilization of Public SLA Templates in Autonomic Cloud Markets;"I. Breskovic; M. Maurer; V. C. Emeakaroha; I. Brandic; S. Dustdar";2011 Fourth IEEE International Conference on Utility and Cloud Computing;20110;10.1109/UCC.2011.38;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6123502
262;Effort Estimation in Cloud Migration Process;"K. Sun; Y. Li";2013 IEEE Seventh International Symposium on Service-Oriented System Engineering;20130;10.1109/SOSE.2013.29;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525509
263;PolarDBMS: Towards a cost-effective and policy-based data management in the cloud;"I. Fetai; F. -M. Brinkmann; H. Schuldt";2014 IEEE 30th International Conference on Data Engineering Workshops;20140;10.1109/ICDEW.2014.6818323;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6818323
264;Optimizing Query Prices for Data-as-a-Service;"A. C. Oliveira; C. Fetzer; A. Martin; Do Le Quoc; M. Spohn";2015 IEEE International Congress on Big Data;20150;10.1109/BigDataCongress.2015.48;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7207232
265;Methodology and Tool Design for Building Return on Investment Models for IT Transformations;"C. -S. Perng; R. Chang";2012 IEEE Ninth International Conference on e-Business Engineering;20120;10.1109/ICEBE.2012.37;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6468236
266;Optimization of cloud resource subscription policy;"W. -R. Lee; H. -Y. Teng; R. -H. Hwang";4th IEEE International Conference on Cloud Computing Technology and Science Proceedings;20120;10.1109/CloudCom.2012.6427490;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427490
267;Serverless Functions in the Cloud-Edge Continuum: Challenges and Opportunities;"G. R. Russo; V. Cardellini; F. L. Presti";2023 31st Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP);20230;10.1109/PDP59025.2023.00056;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10136957
268;Enhancing Distributed Data Storage Security for Cloud Computing Using TPA and AES Algorithm;"N. Shimbre; P. Deshpande";2015 International Conference on Computing Communication Control and Automation;20150;10.1109/ICCUBEA.2015.16;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155804
269;Performance Evaluation of Cloud Services for Russian Companies;A. Bataev;2020 26th Conference of Open Innovations Association (FRUCT);20200;10.23919/FRUCT48808.2020.9087427;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9087427
270;CloudAnalyst: A CloudSim-Based Visual Modeller for Analysing Cloud Computing Environments and Applications;"B. Wickremasinghe; R. N. Calheiros; R. Buyya";2010 24th IEEE International Conference on Advanced Information Networking and Applications;20100;10.1109/AINA.2010.32;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474733
271;Cloudstep: A step-by-step decision process to support legacy application migration to the cloud;"P. V. Beserra; A. Camara; R. Ximenes; A. B. Albuquerque; N. C. Mendonça";2012 IEEE 6th International Workshop on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems (MESOCA);20120;10.1109/MESOCA.2012.6392602;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6392602
273;An Algorithm for Cost-Effectively Storing Scientific Datasets with Multiple Service Providers in the Cloud;"D. Yuan; X. Liu; L. Cui; T. Zhang; W. Li; D. Cao; Y. Yang";2013 IEEE 9th International Conference on e-Science;20130;10.1109/eScience.2013.34;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6683919
274;CloudGuide: Helping users estimate cloud deployment cost and performance for legacy web applications;"S. H. Liew; Y. -Y. Su";4th IEEE International Conference on Cloud Computing Technology and Science Proceedings;20120;10.1109/CloudCom.2012.6427577;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6427577
275;Cost/Performance Evaluation for Cloud Applications Using Simulation;"M. Rak; A. Cuomo; U. Villano";2013 Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises;20130;10.1109/WETICE.2013.36;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6570602
276;Predictive Cyber Foraging for Visual Cloud Computing in Large-Scale IoT Systems;"J. Patman; D. Chemodanov; P. Calyam; K. Palaniappan; C. Sterle; M. Boccia";IEEE Transactions on Network and Service Management;20200;10.1109/TNSM.2020.3010497;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9144518
277;Continuous double auction for cloud market: Pricing and bidding analysis;"Y. Zhang; K. Xu; X. Shi; H. Wang; J. Liu; Y. Wang";2016 IEEE Wireless Communications and Networking Conference;20160;10.1109/WCNC.2016.7564986;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7564986
278;Privacy-Preserving Digital Rights Management in a Trusted Cloud Environment;R. Petrlic;2012 IEEE 11th International Conference on Trust, Security and Privacy in Computing and Communications;20120;10.1109/TrustCom.2012.225;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6296076
279;SOMBA - automated anomaly detection for Cloud quality of service;"J. Pendlebury; V. C. Emeakaroha; D. O'Shea; N. Cafferkey; J. P. Morrison; T. Lynn";2016 2nd International Conference on Cloud Computing Technologies and Applications (CloudTech);20160;10.1109/CloudTech.2016.7847681;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7847681
280;A Conceptual Model of Requirement Engineering in Cloud Project Delivery for Thai Government Organizations;"A. Chaipunyathat; N. Porrawatpreyakorn; S. Nuchitprasitchai; K. Viriyapant";2019 Research, Invention, and Innovation Congress (RI2C);20190;10.1109/RI2C48728.2019.8999923;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999923
282;Autonomic Resource Management Using Analytic Models for Fog/Cloud Computing;"U. Tadakamalla; D. A. Menascé";2019 IEEE International Conference on Fog Computing (ICFC);20190;10.1109/ICFC.2019.00018;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821972
283;Cost Effective and Deadline Constrained Scientific Workflow Scheduling for Commercial Clouds;"V. Arabnejad; K. Bubendorfer";2015 IEEE 14th International Symposium on Network Computing and Applications;20150;10.1109/NCA.2015.33;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7371711
285;Costing for cloud users and remediation for its data collection process by pre-recovery mechanism algorithm;"V. Kohli; D. Ambawade";2014 International Conference on Circuits, Systems, Communication and Information Technology Applications (CSCITA);20140;10.1109/CSCITA.2014.6839267;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6839267
286;An Economic Model for Self-Tuned Cloud Caching;"D. Dash; V. Kantere; A. Ailamaki";2009 IEEE 25th International Conference on Data Engineering;20090;10.1109/ICDE.2009.143;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812593
287;QoS-aware SLA-based Advanced Reservation of Infrastructure as a Service;"K. Lu; T. Roblitz; R. Yahyapour; E. Yaqub; C. Kotsokalis";2011 IEEE Third International Conference on Cloud Computing Technology and Science;20110;10.1109/CloudCom.2011.46;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6133155
