Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Quasi Oppositional Dragonfly Algorithm for Load Balancing in Cloud Computing Environment","Wireless Personal Communications","","122","3","10.1007/s11277-021-09022-w","T. P. LatchoumiLatha Parthiban","2022","http://link.springer.com/article/10.1007/s11277-021-09022-w","Article"
"Intermediate data fault-tolerant method of cloud computing accounting service platform supporting cost-benefit analysis","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00385-4","Taolan JinBo Zhang","2023","http://link.springer.com/article/10.1186/s13677-022-00385-4","Article"
"Integrating peer-to-peer and cloud computing for massively multiuser online games","Peer-to-Peer Networking and Applications","","8","2","10.1007/s12083-013-0232-4","Hanna KavalionakEmanuele CarliniLaura RicciAlberto MontresorMassimo Coppola","2015","http://link.springer.com/article/10.1007/s12083-013-0232-4","Article"
"Service models and pricing schemes for cloud computing","Cluster Computing","","17","2","10.1007/s10586-013-0296-1","Se-Hak ChunByong-Sam Choi","2014","http://link.springer.com/article/10.1007/s10586-013-0296-1","Article"
"An architecture of IPTV service based on PVR-Micro data center and PMIPv6 in cloud computing","Multimedia Tools and Applications","","76","20","10.1007/s11042-016-4082-y","Aymen AlsaffarMohammad AazamChoong Seon HongEui-Nam Huh","2017","http://link.springer.com/article/10.1007/s11042-016-4082-y","Article"
"An effective meta-heuristic based multi-objective hybrid optimization method for workflow scheduling in cloud computing environment","Cluster Computing","","24","3","10.1007/s10586-021-03269-5","Jabir Kakkottakath Valappil ThekkepuryilDavid Peter SuseelanPreetha Mathew Keerikkattil","2021","http://link.springer.com/article/10.1007/s10586-021-03269-5","Article"
"Recent advancement in VM task allocation system for cloud computing: review from 2015 to2021","Artificial Intelligence Review","","55","3","10.1007/s10462-021-10071-7","Arif UllahNazri Mohd NawiSoukaina Ouhame","2022","http://link.springer.com/article/10.1007/s10462-021-10071-7","Article"
"Energy-efficient offloading of real-time tasks using cloud computing","Cluster Computing","","23","4","10.1007/s10586-020-03086-2","Suzanne ElashriAkramul Azim","2020","http://link.springer.com/article/10.1007/s10586-020-03086-2","Article"
"Relative weight comparison between virtual key factors of cloud computing with analytic network process","The Journal of Supercomputing","","72","5","10.1007/s11227-014-1311-x","Cheol-Rim ChoiHwa-Young JeongJong Hyuk ParkHaeng Jin JangYoung-Sik Jeong","2016","http://link.springer.com/article/10.1007/s11227-014-1311-x","Article"
"Enterprise adoption of cloud computing with application portfolio profiling and application portfolio assessment","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00210-w","Kent RamchandMohan Baruwal ChhetriRyszard Kowalczyk","2021","http://link.springer.com/article/10.1186/s13677-020-00210-w","Article"
"A Hybrid Meta-Heuristic for Optimal Load Balancing in Cloud Computing","Journal of Grid Computing","","19","2","10.1007/s10723-021-09560-4","G. Annie Poornima PrincessA. S. Radhamani","2021","http://link.springer.com/article/10.1007/s10723-021-09560-4","Article"
"Recent advancements in resource allocation techniques for cloud computing environment: a systematic review","Cluster Computing","","20","3","10.1007/s10586-016-0684-4","Syed Hamid Hussain MadniMuhammad Shafie Abd LatiffYahaya CoulibalyShafi’i Muhammad Abdulhamid","2017","http://link.springer.com/article/10.1007/s10586-016-0684-4","Article"
