Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Cost Analysis of Cloud Computing for Education","Economics of Grids, Clouds, Systems, and Services","","","","10.1007/978-3-642-35194-5_14","Fernando KochMarcos D. AssunçãoMarco A. S. Netto","2012","http://link.springer.com/chapter/10.1007/978-3-642-35194-5_14","Chapter"
"Cost Analysis Comparing HPC Public Versus Private Cloud Computing","Cloud Computing and Services Science","","","","10.1007/978-3-319-62594-2_15","Patrick DreherDeepak NairEric SillsMladen Vouk","2017","http://link.springer.com/chapter/10.1007/978-3-319-62594-2_15","Chapter"
"Trust Integrated Federated Architecture Ranking Service Models in Cloud Computing Environment","Proceedings of International Conference on Communication and Networks","","","","10.1007/978-981-10-2750-5_24","M SaravananM Aramudhan","2017","http://link.springer.com/chapter/10.1007/978-981-10-2750-5_24","Chapter"
"Optimization as a Service: On the Use of Cloud Computing for Metaheuristic Optimization","Computer Aided Systems Theory - EUROCAST 2013","","","","10.1007/978-3-642-53856-8_44","Sebastian PimmingerStefan WagnerWerner KurschlJohann Heinzelreiter","2013","http://link.springer.com/chapter/10.1007/978-3-642-53856-8_44","Chapter"
"Value Chain Optimization of B2C E-Commerce Based on Cloud Computing and ITM","Proceedings of the 6th International Asia Conference on Industrial Engineering and Management Innovation","","","","10.2991/978-94-6239-145-1_93","Di LiangShuang WuGui-zhi Sun","2016","http://link.springer.com/chapter/10.2991/978-94-6239-145-1_93","Chapter"
"Enhanced Ant Colony Optimization Algorithm for Optimizing Load Balancing in Cloud Computing Platform","Computational Intelligence in Data Science","","","","10.1007/978-3-030-92600-7_6","A. DanielN. PartheebanSrinivasan Sriramulu","2021","http://link.springer.com/chapter/10.1007/978-3-030-92600-7_6","Chapter"
"A Survey of Cloud Computing","Proceedings of the 2nd International Conference on Green Communications and Networks 2012 (GCN 2012): Volume 3","","","","10.1007/978-3-642-35470-0_10","Yadong GongZongquan YingMeihong Lin","2013","http://link.springer.com/chapter/10.1007/978-3-642-35470-0_10","Chapter"
"A Hybrid Post-Quantum Cryptography Driven Key Exchange Scheme for Cloud Computing Environments","Intelligent Sustainable Systems","","","","10.1007/978-981-99-1726-6_40","Mr. Shaik Mohammad IliasV. Ceronmani Sharmila","2023","http://link.springer.com/chapter/10.1007/978-981-99-1726-6_40","Chapter"
"A Survey of Cloud Computing Migration Issues and Frameworks","New Perspectives in Information Systems and Technologies, Volume 1","","","","10.1007/978-3-319-05951-8_16","Abílio CardosoFernando MoreiraPaulo Simões","2014","http://link.springer.com/chapter/10.1007/978-3-319-05951-8_16","Chapter"
"A Review on Cloud Computing Architecture","Electronic Systems and Intelligent Computing","","","","10.1007/978-981-16-9488-2_17","Animesh KumarSandip Dutta","2022","http://link.springer.com/chapter/10.1007/978-981-16-9488-2_17","Chapter"
