Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Truthful Mechanism for Value-Based Scheduling in Cloud Computing","Theory of Computing Systems","","54","3","10.1007/s00224-013-9449-0","Navendu JainIshai MenacheJoseph (Seffi) NaorJonathan Yaniv","2014","http://link.springer.com/article/10.1007/s00224-013-9449-0","Article"
"A review of data replication based on meta-heuristics approach in cloud computing and data grid","Soft Computing","","24","19","10.1007/s00500-020-04802-1","Najme MansouriMohammad Masoud Javidi","2020","http://link.springer.com/article/10.1007/s00500-020-04802-1","Article"
"CSLAOnto: A Comprehensive Ontological SLA Model in Cloud Computing","Journal on Data Semantics","","5","3","10.1007/s13740-016-0070-7","Taher LabidiAchraf MtibaaHayet Brabra","2016","http://link.springer.com/article/10.1007/s13740-016-0070-7","Article"
"An efficient cost-based algorithm for scheduling workflow tasks in cloud computing systems","Neural Computing and Applications","","31","5","10.1007/s00521-018-3610-2","Mohammed AmoonNirmeen El-BahnasawyMai ElKazaz","2019","http://link.springer.com/article/10.1007/s00521-018-3610-2","Article"
"RHAS: robust hybrid auto-scaling for web applications in cloud computing","Cluster Computing","","24","2","10.1007/s10586-020-03148-5","Parminder SinghAvinash KaurPooja GuptaSukhpal Singh GillKiran Jyoti","2021","http://link.springer.com/article/10.1007/s10586-020-03148-5","Article"
"A dynamic Stackelberg game based multi-objective approach for effective resource allocation in cloud computing","International Journal of Information Technology","","15","2","10.1007/s41870-022-00926-9","Husain GodhrawalaR. Sridaran","2023","http://link.springer.com/article/10.1007/s41870-022-00926-9","Article"
"Resource provision and QoS support with added security for client side applications in cloud computing","International Journal of Information Technology","","11","2","10.1007/s41870-017-0059-y","Mamata Rath","2019","http://link.springer.com/article/10.1007/s41870-017-0059-y","Article"
"A review on quality of experience (QoE) in cloud computing","Journal of Reliable Intelligent Environments","","","","10.1007/s40860-023-00210-y","Asif Ali LaghariXiaobo ZhangZaffar Ahmed ShaikhAsiya KhanVania V. EstrelaSaadat Izadi","2023","http://link.springer.com/article/10.1007/s40860-023-00210-y","Article"
"Cloud Computing: A Multi-workflow Scheduling Algorithm with Dynamic Reusability","Arabian Journal for Science and Engineering","","43","2","10.1007/s13369-017-2739-0","Mainak AdhikariSantanu Koley","2018","http://link.springer.com/article/10.1007/s13369-017-2739-0","Article"
"A slave ants based ant colony optimization algorithm for task scheduling in cloud computing environments","Human-centric Computing and Information Sciences","","7","1","10.1186/s13673-017-0109-2","YoungJu MoonHeonChang YuJoon-Min GilJongBeom Lim","2017","http://link.springer.com/article/10.1186/s13673-017-0109-2","Article"
"Adaptive data replication strategy in cloud computing for performance improvement","Frontiers of Computer Science","","10","5","10.1007/s11704-016-5182-6","Najme Mansouri","2016","http://link.springer.com/article/10.1007/s11704-016-5182-6","Article"
"A dynamic random testing strategy in the context of cloud computing","Software Quality Journal","","31","1","10.1007/s11219-022-09599-w","Hanyu PeiBeibei YinLinzhi HuangKai-Yuan Cai","2023","http://link.springer.com/article/10.1007/s11219-022-09599-w","Article"
"Impatience Characteristics in Cloud-Computing-Services Procurement: Effects of Delay Horizon and Situational Involvement","Group Decision and Negotiation","","28","5","10.1007/s10726-019-09629-2","Venkataraghavan KrishnaswamyR. P. Sundarraj","2019","http://link.springer.com/article/10.1007/s10726-019-09629-2","Article"
"Architectural Requirements for Cloud Computing Systems: An Enterprise Cloud Approach","Journal of Grid Computing","","9","1","10.1007/s10723-010-9171-y","Bhaskar Prasad RimalAdmela JukanDimitrios KatsarosYves Goeleven","2011","http://link.springer.com/article/10.1007/s10723-010-9171-y","Article"
"A cloud computing based 12-lead ECG telemedicine service","BMC Medical Informatics and Decision Making","","12","1","10.1186/1472-6947-12-77","Jui-chien HsiehMeng-Wei Hsu","2012","http://link.springer.com/article/10.1186/1472-6947-12-77","Article"
"Cloud computing in e-Science: research challenges and opportunities","The Journal of Supercomputing","","70","1","10.1007/s11227-014-1251-5","Xiaoyu YangDavid WallomSimon WaddingtonJianwu WangArif ShaonBrian MatthewsMichael WilsonYike GuoLi GuoJon D. BlowerAthanasios V. VasilakosKecheng LiuPhilip Kershaw","2014","http://link.springer.com/article/10.1007/s11227-014-1251-5","Article"
"Optimal resource provisioning for cloud computing environment","The Journal of Supercomputing","","62","2","10.1007/s11227-012-0775-9","Chunlin LiLa Yuan Li","2012","http://link.springer.com/article/10.1007/s11227-012-0775-9","Article"
"Quantum-inspired binary chaotic salp swarm algorithm (QBCSSA)-based dynamic task scheduling for multiprocessor cloud computing systems","The Journal of Supercomputing","","77","9","10.1007/s11227-021-03695-7","Kaushik MishraRosy PradhanSantosh Kumar Majhi","2021","http://link.springer.com/article/10.1007/s11227-021-03695-7","Article"
"Diffusing the Cloud: Cloud Computing and Implications for Public Policy","Journal of Industry, Competition and Trade","","11","3","10.1007/s10842-011-0106-5","Kenji E. KushidaJonathan MurrayJohn Zysman","2011","http://link.springer.com/article/10.1007/s10842-011-0106-5","Article"
"An intelligent clustering scheme for distributed intrusion detection in vehicular cloud computing","Cluster Computing","","18","3","10.1007/s10586-015-0463-7","Neeraj KumarJaskaran Preet SinghRasmeet S. BaliSudip MisraSana Ullah","2015","http://link.springer.com/article/10.1007/s10586-015-0463-7","Article"
"A scoping review of cloud computing in healthcare","BMC Medical Informatics and Decision Making","","15","1","10.1186/s12911-015-0145-7","Lena GriebelHans-Ulrich ProkoschFelix KöpckeDennis ToddenrothJan ChristophInes LebIgor EngelMartin Sedlmayr","2015","http://link.springer.com/article/10.1186/s12911-015-0145-7","Article"
"GA-Based Customer-Conscious Resource Allocation and Task Scheduling in Multi-cloud Computing","Arabian Journal for Science and Engineering","","43","8","10.1007/s13369-017-2766-x","Tamanna JenaJ. R. Mohanty","2018","http://link.springer.com/article/10.1007/s13369-017-2766-x","Article"
"Mobile Cloud Computing: A Survey, State of Art and Future Directions","Mobile Networks and Applications","","19","2","10.1007/s11036-013-0477-4","M. Reza RahimiJian RenChi Harold LiuAthanasios V. VasilakosNalini Venkatasubramanian","2014","http://link.springer.com/article/10.1007/s11036-013-0477-4","Article"
"A game-based resource pricing and allocation mechanism for profit maximization in cloud computing","Soft Computing","","24","6","10.1007/s00500-019-04183-0","Zhengfa ZhuJun PengKaiyang LiuXiaoyong Zhang","2020","http://link.springer.com/article/10.1007/s00500-019-04183-0","Article"
"A hybrid multi-faceted task scheduling algorithm for cloud computing environment","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-021-01084-0","Kalka DubeyS. C. Sharma","2021","http://link.springer.com/article/10.1007/s13198-021-01084-0","Article"
"Enhanced Multi-attribute Combinative Double Auction (EMCDA) for Resource Allocation in Cloud Computing","Wireless Personal Communications","","122","4","10.1007/s11277-021-09113-8","P. VinothiyalakshmiR. Anitha","2022","http://link.springer.com/article/10.1007/s11277-021-09113-8","Article"
"Optimal contract design for cloud computing service with resource service guarantee","Journal of the Operational Research Society","","68","9","10.1057/s41274-016-0141-z","Chia-Wei KuoKwei-Long HuangChao-Lung Yang","2017","http://link.springer.com/article/10.1057/s41274-016-0141-z","Article"
"Cooperative agents-based approach for workflow scheduling on fog-cloud computing","Journal of Ambient Intelligence and Humanized Computing","","13","10","10.1007/s12652-021-03187-9","Marwa MokniSonia YassaJalel Eddine HajlaouiRachid ChelouahMohamed Nazih Omri","2022","http://link.springer.com/article/10.1007/s12652-021-03187-9","Article"
"An overview, examples, and impacts offered by Emerging Services and Analytics in Cloud Computing virtual reality","Neural Computing and Applications","","29","5","10.1007/s00521-017-3000-1","Victor Chang","2018","http://link.springer.com/article/10.1007/s00521-017-3000-1","Article"
"An IoT-based task scheduling optimization scheme considering the deadline and cost-aware scientific workflow for cloud computing","EURASIP Journal on Wireless Communications and Networking","","2019","1","10.1186/s13638-019-1557-3","Xiaojin MaHonghao GaoHuahu XuMinjie Bian","2019","http://link.springer.com/article/10.1186/s13638-019-1557-3","Article"
"A secure billing protocol over attribute-based encryption in vehicular cloud computing","EURASIP Journal on Wireless Communications and Networking","","2016","1","10.1186/s13638-016-0687-0","Lewis NkenyereyeYoungho ParkKyung Hyune Rhee","2016","http://link.springer.com/article/10.1186/s13638-016-0687-0","Article"
"Toward energy-efficient cloud computing: a survey of dynamic power management and heuristics-based optimization techniques","The Journal of Supercomputing","","75","8","10.1007/s11227-019-02764-2","Nagma KhattarJagpreet SidhuJaiteg Singh","2019","http://link.springer.com/article/10.1007/s11227-019-02764-2","Article"
"Multi-objective workflow optimization strategy (MOWOS) for cloud computing","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00219-1","J. Kok KonjaangLina Xu","2021","http://link.springer.com/article/10.1186/s13677-020-00219-1","Article"
"Service resizing for quick DDoS mitigation in cloud computing environment","Annals of Telecommunications","","72","5 - 6","10.1007/s12243-016-0552-5","Gaurav SomaniManoj Singh GaurDheeraj SanghiMauro ContiRajkumar Buyya","2017","http://link.springer.com/article/10.1007/s12243-016-0552-5","Article"
"Improving latency in Internet-of-Things and cloud computing for real-time data transmission: a systematic literature review (SLR)","Cluster Computing","","","","10.1007/s10586-021-03279-3","Saurabh ShuklaMohd. Fadzil HassanDuc Chung TranRehan AkbarIrving Vitra PaputunganMuhammad Khalid Khan","2021","http://link.springer.com/article/10.1007/s10586-021-03279-3","Article"
"Cloud computing services: taxonomy and comparison","Journal of Internet Services and Applications","","2","2","10.1007/s13174-011-0027-x","C. N. HöferG. Karagiannis","2011","http://link.springer.com/article/10.1007/s13174-011-0027-x","Article"
"Efficient dynamic resource provisioning based on credibility in cloud computing","Wireless Networks","","27","3","10.1007/s11276-021-02558-6","P. VinothiyalakshmiR. Anitha","2021","http://link.springer.com/article/10.1007/s11276-021-02558-6","Article"
"Multi-Objective Task and Workflow Scheduling Approaches in Cloud Computing: a Comprehensive Review","Journal of Grid Computing","","18","3","10.1007/s10723-020-09533-z","Mehdi HosseinzadehMarwan Yassin GhafourHawkar Kamaran HamaBay VoAfsane Khoshnevis","2020","http://link.springer.com/article/10.1007/s10723-020-09533-z","Article"
"Notes on Cloud computing principles","Journal of Cloud Computing","","3","1","10.1186/s13677-014-0021-5","Thomas SandholmDongman Lee","2014","http://link.springer.com/article/10.1186/s13677-014-0021-5","Article"
"Quality-of-service in cloud computing: modeling techniques and their applications","Journal of Internet Services and Applications","","5","1","10.1186/s13174-014-0011-3","Danilo ArdagnaGiuliano CasaleMichele CiavottaJuan F PérezWeikun Wang","2014","http://link.springer.com/article/10.1186/s13174-014-0011-3","Article"
"A framework and tool to manage Cloud Computing service quality","Software Quality Journal","","23","4","10.1007/s11219-014-9248-0","Francisco José Domínguez-MayoJulián Alberto García-GarcíaMaría José EscalonaManuel MejíasMatias UrbietaGustavo Rossi","2015","http://link.springer.com/article/10.1007/s11219-014-9248-0","Article"
"Hybrid IT and Multi Cloud an Emerging Trend and Improved Performance in Cloud Computing","SN Computer Science","","1","5","10.1007/s42979-020-00277-x","Srinivasa Rao GunduCharan Arur PanemAnuradha Thimmapuram","2020","http://link.springer.com/article/10.1007/s42979-020-00277-x","Article"
"Genetic algorithm for quality of service based resource allocation in cloud computing","Evolutionary Intelligence","","14","2","10.1007/s12065-019-00233-6","Prasad DevarasettySatyananda Reddy","2021","http://link.springer.com/article/10.1007/s12065-019-00233-6","Article"
"Computation of workflow scheduling using backpropagation neural network in cloud computing: a virtual machine placement approach","The Journal of Supercomputing","","77","9","10.1007/s11227-021-03648-0","Narayani RamanAisha Banu WahabSutherson Chandrasekaran","2021","http://link.springer.com/article/10.1007/s11227-021-03648-0","Article"
"An Edge-Fog-Cloud computing architecture for IoT and smart metering data","Peer-to-Peer Networking and Applications","","16","2","10.1007/s12083-022-01436-y","Simona-Vasilica OpreaAdela Bâra","2023","http://link.springer.com/article/10.1007/s12083-022-01436-y","Article"
"An Online Cost-Based Job Scheduling Method by Cellular Automata in Cloud Computing Environment","Wireless Personal Communications","","105","3","10.1007/s11277-019-06128-0","Neda ZekrizadehAhmad KhademzadehMehdi Hosseinzadeh","2019","http://link.springer.com/article/10.1007/s11277-019-06128-0","Article"
"Amended hybrid multi-verse optimizer with genetic algorithm for solving task scheduling problem in cloud computing","The Journal of Supercomputing","","78","1","10.1007/s11227-021-03915-0","Laith AbualigahMuhammad Alkhrabsheh","2022","http://link.springer.com/article/10.1007/s11227-021-03915-0","Article"
"Efficient resource scaling based on load fluctuation in edge-cloud computing environment","The Journal of Supercomputing","","76","9","10.1007/s11227-019-03134-8","Chunlin LiJingpan BaiYoulong Luo","2020","http://link.springer.com/article/10.1007/s11227-019-03134-8","Article"
"Grid and Cloud Computing: Opportunities for Integration with the Next Generation Network","Journal of Grid Computing","","7","3","10.1007/s10723-009-9132-5","Thomas RingsGeoff CaryerJulian GallopJens GrabowskiTatiana KovacikovaStephan SchulzIan Stokes-Rees","2009","http://link.springer.com/article/10.1007/s10723-009-9132-5","Article"
"Service description languages in cloud computing: state-of-the-art and research issues","Service Oriented Computing and Applications","","13","2","10.1007/s11761-019-00263-z","Falak NawazAhmad MohsinNaeem Khalid Janjua","2019","http://link.springer.com/article/10.1007/s11761-019-00263-z","Article"
"Cloud computing for ubiquitous computing on M2M and IoT environment mobile application","Cluster Computing","","19","2","10.1007/s10586-016-0573-x","DongBum SeoYou-Boo JeonSong-Hee LeeKeun-Ho Lee","2016","http://link.springer.com/article/10.1007/s10586-016-0573-x","Article"
"Scientific workflow scheduling in multi-cloud computing using a hybrid multi-objective optimization algorithm","Journal of Ambient Intelligence and Humanized Computing","","14","4","10.1007/s12652-021-03482-5","Ali MohammadzadehMohammad Masdari","2023","http://link.springer.com/article/10.1007/s12652-021-03482-5","Article"
"Cost-efficient parallel processing of irregularly structured problems in cloud computing environments","Cluster Computing","","22","3","10.1007/s10586-018-2879-3","Jens HaussmannWolfgang BlochingerWolfgang Kuechlin","2019","http://link.springer.com/article/10.1007/s10586-018-2879-3","Article"
"Cloud computing adoption: an empirical study of customer preferences among start-up companies","Electronic Markets","","23","2","10.1007/s12525-012-0119-x","Jonas RepschlaegerKoray ErekRuediger Zarnekow","2013","http://link.springer.com/article/10.1007/s12525-012-0119-x","Article"
"SecAuth-SaaS: a hierarchical certificateless aggregate signature for secure collaborative SaaS authentication in cloud computing","Journal of Ambient Intelligence and Humanized Computing","","12","12","10.1007/s12652-020-02864-5","Deepnarayan TiwariG. R. Gangadharan","2021","http://link.springer.com/article/10.1007/s12652-020-02864-5","Article"
"Mandi: a market exchange for trading utility and cloud computing services","The Journal of Supercomputing","","64","3","10.1007/s11227-011-0568-6","Saurabh Kumar GargChristian VecchiolaRajkumar Buyya","2013","http://link.springer.com/article/10.1007/s11227-011-0568-6","Article"
"Recent advancements in resource allocation techniques for cloud computing environment: a systematic review","Cluster Computing","","20","3","10.1007/s10586-016-0684-4","Syed Hamid Hussain MadniMuhammad Shafie Abd LatiffYahaya CoulibalyShafi’i Muhammad Abdulhamid","2017","http://link.springer.com/article/10.1007/s10586-016-0684-4","Article"
"Knowledge-based adaptable scheduler for SaaS providers in cloud computing","Human-centric Computing and Information Sciences","","5","1","10.1186/s13673-015-0031-4","Farzaneh MotavaselalhaghFaramarz Safi EsfahaniHamid Reza Arabnia","2015","http://link.springer.com/article/10.1186/s13673-015-0031-4","Article"
"Resource provisioning using workload clustering in cloud computing environment: a hybrid approach","Cluster Computing","","24","1","10.1007/s10586-020-03107-0","Ali ShahidinejadMostafa Ghobaei-AraniMohammad Masdari","2021","http://link.springer.com/article/10.1007/s10586-020-03107-0","Article"
"A metrics suite of cloud computing adoption readiness","Electronic Markets","","28","1","10.1007/s12525-015-0213-y","Robert J. KauffmanDan MaMartin Yu","2018","http://link.springer.com/article/10.1007/s12525-015-0213-y","Article"
