Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Service models and pricing schemes for cloud computing","Cluster Computing","","17","2","10.1007/s10586-013-0296-1","Se-Hak ChunByong-Sam Choi","2014","http://link.springer.com/article/10.1007/s10586-013-0296-1","Article"
"Cloud Computing System Management Under Flat Rate Pricing","Journal of Network and Systems Management","","19","3","10.1007/s10922-010-9196-3","Chu-Fen Li","2011","http://link.springer.com/article/10.1007/s10922-010-9196-3","Article"
"A survey on optimal utilization of preemptible VM instances in cloud computing","The Journal of Supercomputing","","74","11","10.1007/s11227-018-2509-0","Ashish Kumar MishraBrajesh Kumar UmraoDharmendra K. Yadav","2018","http://link.springer.com/article/10.1007/s11227-018-2509-0","Article"
"A Survey on Spot Pricing in Cloud Computing","Journal of Network and Systems Management","","26","4","10.1007/s10922-017-9444-x","Dinesh KumarGaurav BaranwalZahid RazaDeo Prakash Vidyarthi","2018","http://link.springer.com/article/10.1007/s10922-017-9444-x","Article"
"Flexible Pricing Models for Cloud Computing Based on Group Decision Making Under Consensus","Global Journal of Flexible Systems Management","","16","2","10.1007/s40171-015-0093-1","Arpan Kumar KarAtanu Rakshit","2015","http://link.springer.com/article/10.1007/s40171-015-0093-1","Article"
"A Survey of Mobile Cloud Computing Applications: Perspectives and Challenges","Wireless Personal Communications","","80","4","10.1007/s11277-014-2102-7","Yating WangIng-Ray ChenDing-Chau Wang","2015","http://link.springer.com/article/10.1007/s11277-014-2102-7","Article"
"Impatience Characteristics in Cloud-Computing-Services Procurement: Effects of Delay Horizon and Situational Involvement","Group Decision and Negotiation","","28","5","10.1007/s10726-019-09629-2","Venkataraghavan KrishnaswamyR. P. Sundarraj","2019","http://link.springer.com/article/10.1007/s10726-019-09629-2","Article"
"A novel optimized approach for resource reservation in cloud computing using producer–consumer theory of microeconomics","The Journal of Supercomputing","","75","11","10.1007/s11227-019-02951-1","Alireza MohammadiMohammad Hossein Rezvani","2019","http://link.springer.com/article/10.1007/s11227-019-02951-1","Article"
"Bi-objective scheduling algorithm for scientific workflows on cloud computing platform with makespan and monetary cost minimization approach","Complex & Intelligent Systems","","8","2","10.1007/s40747-021-00528-1","Mirsaeid Hosseini ShirvaniReza Noorian Talouki","2022","http://link.springer.com/article/10.1007/s40747-021-00528-1","Article"
"Optimal resource provisioning for cloud computing environment","The Journal of Supercomputing","","62","2","10.1007/s11227-012-0775-9","Chunlin LiLa Yuan Li","2012","http://link.springer.com/article/10.1007/s11227-012-0775-9","Article"
"Shareholder wealth implications of software firms’ transition to cloud computing: a marketing perspective","Journal of the Academy of Marketing Science","","50","3","10.1007/s11747-021-00818-7","Mehdi NezamiKapil R. TuliShantanu Dutta","2022","http://link.springer.com/article/10.1007/s11747-021-00818-7","Article"
"“On-demand” pricing and capacity management in cloud computing","Journal of Revenue and Pricing Management","","18","3","10.1057/s41272-018-0146-0","Tarun JainJishnu Hazra","2019","http://link.springer.com/article/10.1057/s41272-018-0146-0","Article"
"A survey and taxonomy on energy efficient resource allocation techniques for cloud computing systems","Computing","","98","7","10.1007/s00607-014-0407-8","Abdul HameedAlireza KhoshkbarforoushhaRajiv RanjanPrem Prakash JayaramanJoanna KolodziejPavan BalajiSherali ZeadallyQutaibah Marwan MalluhiNikos TziritasAbhinav VishnuSamee U. KhanAlbert Zomaya","2016","http://link.springer.com/article/10.1007/s00607-014-0407-8","Article"
"Multi-Layer Resource Management in Cloud Computing","Journal of Network and Systems Management","","22","1","10.1007/s10922-012-9261-1","Li ChunlinLi Layuan","2014","http://link.springer.com/article/10.1007/s10922-012-9261-1","Article"
"Cloud computing: state-of-the-art and research challenges","Journal of Internet Services and Applications","","1","1","10.1007/s13174-010-0007-6","Qi ZhangLu ChengRaouf Boutaba","2010","http://link.springer.com/article/10.1007/s13174-010-0007-6","Article"
"Cloud Computing As a Tool for Enhancing Ecological Goals?","Business & Information Systems Engineering","","5","5","10.1007/s12599-013-0284-2","PD Dr. Ingrid GottschalkProf. Dr. Stefan Kirn","2013","http://link.springer.com/article/10.1007/s12599-013-0284-2","Article"
"A game-based resource pricing and allocation mechanism for profit maximization in cloud computing","Soft Computing","","24","6","10.1007/s00500-019-04183-0","Zhengfa ZhuJun PengKaiyang LiuXiaoyong Zhang","2020","http://link.springer.com/article/10.1007/s00500-019-04183-0","Article"
"A dynamic Stackelberg game based multi-objective approach for effective resource allocation in cloud computing","International Journal of Information Technology","","15","2","10.1007/s41870-022-00926-9","Husain GodhrawalaR. Sridaran","2023","http://link.springer.com/article/10.1007/s41870-022-00926-9","Article"
"An effective meta-heuristic based multi-objective hybrid optimization method for workflow scheduling in cloud computing environment","Cluster Computing","","24","3","10.1007/s10586-021-03269-5","Jabir Kakkottakath Valappil ThekkepuryilDavid Peter SuseelanPreetha Mathew Keerikkattil","2021","http://link.springer.com/article/10.1007/s10586-021-03269-5","Article"
"A Truthful Mechanism for Value-Based Scheduling in Cloud Computing","Theory of Computing Systems","","54","3","10.1007/s00224-013-9449-0","Navendu JainIshai MenacheJoseph (Seffi) NaorJonathan Yaniv","2014","http://link.springer.com/article/10.1007/s00224-013-9449-0","Article"
"Resource provision and QoS support with added security for client side applications in cloud computing","International Journal of Information Technology","","11","2","10.1007/s41870-017-0059-y","Mamata Rath","2019","http://link.springer.com/article/10.1007/s41870-017-0059-y","Article"
"Correcting a financial brokerage model for cloud computing: closing the window of opportunity for commercialisation","Journal of Cloud Computing","","3","1","10.1186/2192-113X-3-2","John CartlidgePhilip Clamp","2014","http://link.springer.com/article/10.1186/2192-113X-3-2","Article"
"A Survey on Resource Scheduling in Cloud Computing: Issues and Challenges","Journal of Grid Computing","","14","2","10.1007/s10723-015-9359-2","Sukhpal SinghInderveer Chana","2016","http://link.springer.com/article/10.1007/s10723-015-9359-2","Article"
"A hybrid multi-faceted task scheduling algorithm for cloud computing environment","International Journal of System Assurance Engineering and Management","","","","10.1007/s13198-021-01084-0","Kalka DubeyS. C. Sharma","2021","http://link.springer.com/article/10.1007/s13198-021-01084-0","Article"
"Enhanced Multi-attribute Combinative Double Auction (EMCDA) for Resource Allocation in Cloud Computing","Wireless Personal Communications","","122","4","10.1007/s11277-021-09113-8","P. VinothiyalakshmiR. Anitha","2022","http://link.springer.com/article/10.1007/s11277-021-09113-8","Article"
"Blockchain-based trust management in cloud computing systems: a taxonomy, review and future directions","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00247-5","Wenjuan LiJiyi WuJian CaoNan ChenQifei ZhangRajkumar Buyya","2021","http://link.springer.com/article/10.1186/s13677-021-00247-5","Article"
"Joint optimization of wireless bandwidth and computing resource in cloudlet-based mobile cloud computing environment","Peer-to-Peer Networking and Applications","","11","3","10.1007/s12083-017-0544-x","Sachula MengYing WangZhongyu MiaoKai Sun","2018","http://link.springer.com/article/10.1007/s12083-017-0544-x","Article"
"Decision-making in cloud computing environments: A cost and risk based approach","Information Systems Frontiers","","14","4","10.1007/s10796-011-9317-x","Benedikt MartensFrank Teuteberg","2012","http://link.springer.com/article/10.1007/s10796-011-9317-x","Article"
"Cost-efficient parallel processing of irregularly structured problems in cloud computing environments","Cluster Computing","","22","3","10.1007/s10586-018-2879-3","Jens HaussmannWolfgang BlochingerWolfgang Kuechlin","2019","http://link.springer.com/article/10.1007/s10586-018-2879-3","Article"
"Fair Benchmarking for Cloud Computing systems","Journal of Cloud Computing: Advances, Systems and Applications","","2","1","10.1186/2192-113X-2-6","Lee GillamBin LiJohn O’LoughlinAnuz Pratap Singh Tomar","2013","http://link.springer.com/article/10.1186/2192-113X-2-6","Article"
"RETRACTED ARTICLE: A new whale optimizer for workflow scheduling in cloud computing environment","Journal of Ambient Intelligence and Humanized Computing","","12","3","10.1007/s12652-020-01678-9","Sounder Rajan ThennarasuM. SelvamK. Srihari","2021","http://link.springer.com/article/10.1007/s12652-020-01678-9","Article"
"Enterprise adoption of cloud computing with application portfolio profiling and application portfolio assessment","Journal of Cloud Computing","","10","1","10.1186/s13677-020-00210-w","Kent RamchandMohan Baruwal ChhetriRyszard Kowalczyk","2021","http://link.springer.com/article/10.1186/s13677-020-00210-w","Article"
"Cloud computing in e-Science: research challenges and opportunities","The Journal of Supercomputing","","70","1","10.1007/s11227-014-1251-5","Xiaoyu YangDavid WallomSimon WaddingtonJianwu WangArif ShaonBrian MatthewsMichael WilsonYike GuoLi GuoJon D. BlowerAthanasios V. VasilakosKecheng LiuPhilip Kershaw","2014","http://link.springer.com/article/10.1007/s11227-014-1251-5","Article"
